vessel_id,mmsi,imo,vessel_type,hull_area_m2,coating,timestamp,date,lat,lon,mean_speed_knots,vessel_speed,idle_hours,idle_time,stop_duration,sst_c,sea_temperature,sss_psu,salinity,chlor_a_mg_m3,wind_speed_mps,wind_dir_deg,wind_direction,curr_speed_mps,curr_dir,current_speed,current_direction,ocean_current,voyage_id,last_clean_date,days_since_clean,fouling_percent,fouling_class,fuel_consumption_tpd
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-11 12:00:00,2024-01-11,3.291408,93.934007,17.64,17.64,1.05,1.05,0.0,25.07,25.07,35.08,35.08,1.023,10.52,252.9,252.9,0.0,291.4,0.0,291.4,0.0,VG_VSL_2000_2024_3240,2023-11-20,52,96.62,high,4.039
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-12 12:00:00,2024-01-12,3.532918,92.979546,9.8,9.8,2.39,2.39,2.39,23.9,23.9,34.39,34.39,1.634,4.77,118.1,118.1,0.5,90.1,0.5,90.1,0.5,VG_VSL_2000_2024_156,2023-11-18,55,100.0,high,0.708
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-13 12:00:00,2024-01-13,3.035031,95.050374,12.41,12.41,1.07,1.07,0.0,26.62,26.62,37.77,37.77,1.318,9.73,351.3,351.3,0.0,286.3,0.0,286.3,0.0,VG_VSL_2000_2024_1084,2023-09-02,133,100.0,high,1.441
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-14 12:00:00,2024-01-14,3.739924,95.315467,9.83,9.83,2.71,2.71,2.71,22.05,22.05,34.49,34.49,0.61,8.91,186.0,186.0,0.19,262.8,0.19,262.8,0.19,VG_VSL_2000_2024_191,2023-07-12,186,100.0,high,0.725
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-15 12:00:00,2024-01-15,3.077877,92.841132,0.04,0.04,14.1,14.1,14.1,23.37,23.37,36.65,36.65,1.768,5.36,17.3,17.3,0.45,194.2,0.45,194.2,0.45,VG_VSL_2000_2024_2736,2023-11-17,59,100.0,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-16 12:00:00,2024-01-16,2.875791,93.26168,0.12,0.12,18.91,18.91,18.91,25.79,25.79,33.14,33.14,1.78,0.56,338.9,338.9,0.59,325.9,0.59,325.9,0.59,VG_VSL_2000_2024_783,2023-07-15,185,100.0,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-17 12:00:00,2024-01-17,2.475492,93.310277,10.62,10.62,1.17,1.17,0.0,25.89,25.89,33.53,33.53,0.243,4.28,178.6,178.6,0.11,337.2,0.11,337.2,0.11,VG_VSL_2000_2024_157,2023-11-12,66,100.0,high,0.956
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-18 12:00:00,2024-01-18,3.532681,95.191884,6.0,6.0,1.45,1.45,0.0,23.42,23.42,34.18,34.18,1.126,7.76,202.3,202.3,0.7,266.4,0.7,266.4,0.7,VG_VSL_2000_2024_953,2023-11-03,76,100.0,high,0.172
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-19 12:00:00,2024-01-19,3.794481,92.550092,0.58,0.58,16.67,16.67,16.67,23.44,23.44,34.08,34.08,1.647,10.52,161.4,161.4,0.12,242.1,0.12,242.1,0.12,VG_VSL_2000_2024_3009,2023-07-12,191,100.0,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-20 12:00:00,2024-01-20,3.230631,90.669896,0.87,0.87,16.21,16.21,16.21,24.6,24.6,37.04,37.04,0.24,7.67,295.9,295.9,0.29,30.5,0.29,30.5,0.29,VG_VSL_2000_2024_3946,2023-08-16,157,100.0,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-21 12:00:00,2024-01-21,2.949492,92.380845,16.35,16.35,1.65,1.65,0.0,21.78,21.78,37.36,37.36,0.319,6.98,168.7,168.7,0.56,268.6,0.56,268.6,0.56,VG_VSL_2000_2024_2333,2023-08-12,162,100.0,high,3.487
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-22 12:00:00,2024-01-22,2.729456,94.808497,0.15,0.15,18.67,18.67,18.67,23.8,23.8,34.84,34.84,1.006,3.48,27.2,27.2,0.29,106.0,0.29,106.0,0.29,VG_VSL_2000_2024_3983,2023-10-10,104,100.0,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-23 12:00:00,2024-01-23,3.345926,95.805681,9.41,9.41,0.23,0.23,0.0,21.55,21.55,34.21,34.21,0.045,7.5,350.8,350.8,0.0,293.0,0.0,293.0,0.0,VG_VSL_2000_2024_2739,2023-07-15,192,100.0,high,0.61
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-24 12:00:00,2024-01-24,4.334796,94.593246,0.09,0.09,13.81,13.81,13.81,21.67,21.67,37.03,37.03,0.431,11.08,149.3,149.3,0.41,311.3,0.41,311.3,0.41,VG_VSL_2000_2024_3251,2023-08-30,147,100.0,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-25 12:00:00,2024-01-25,3.351888,95.093289,13.92,13.92,0.52,0.52,0.0,23.07,23.07,34.03,34.03,0.009,3.91,74.6,74.6,0.56,16.9,0.56,16.9,0.56,VG_VSL_2000_2024_1075,2023-10-25,92,100.0,high,2.176
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-26 12:00:00,2024-01-26,4.46436,93.315751,0.79,0.79,18.62,18.62,18.62,24.64,24.64,35.25,35.25,0.112,6.11,10.4,10.4,0.66,253.5,0.66,253.5,0.66,VG_VSL_2000_2024_852,2023-10-26,92,100.0,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-27 12:00:00,2024-01-27,4.000317,92.135619,12.37,12.37,0.87,0.87,0.0,24.62,24.62,34.84,34.84,0.632,0.78,251.2,251.2,0.39,303.2,0.39,303.2,0.39,VG_VSL_2000_2024_3075,2023-09-10,139,100.0,high,1.54
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-28 12:00:00,2024-01-28,3.216304,90.696987,11.71,11.71,0.3,0.3,0.0,24.33,24.33,33.59,33.59,0.192,3.5,322.8,322.8,1.13,62.0,1.13,62.0,1.13,VG_VSL_2000_2024_769,2023-07-09,203,100.0,high,1.239
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-29 12:00:00,2024-01-29,3.863109,92.894886,11.75,11.75,0.84,0.84,0.0,24.58,24.58,34.57,34.57,0.275,4.3,115.8,115.8,0.44,247.6,0.44,247.6,0.44,VG_VSL_2000_2024_2047,2023-08-18,164,100.0,high,1.357
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-30 12:00:00,2024-01-30,2.863703,92.294223,13.85,13.85,0.51,0.51,0.0,26.66,26.66,34.53,34.53,0.124,0.0,269.1,269.1,0.64,184.2,0.64,184.2,0.64,VG_VSL_2000_2024_2128,2023-11-15,76,100.0,high,2.307
VSL_2000,300000000,9100000,container,3548,epoxy,2024-01-31 12:00:00,2024-01-31,1.761873,92.20531,9.11,9.11,0.02,0.02,0.0,23.25,23.25,34.02,34.02,0.036,5.84,320.6,320.6,1.01,284.1,1.01,284.1,1.01,VG_VSL_2000_2024_1994,2023-08-14,170,100.0,high,0.656
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-01 12:00:00,2024-02-01,3.569305,95.67929,16.45,16.45,0.52,0.52,0.0,24.59,24.59,34.57,34.57,0.349,8.96,179.4,179.4,0.61,2.7,0.61,2.7,0.61,VG_VSL_2000_2024_902,2023-09-24,130,100.0,high,3.4
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-02 12:00:00,2024-02-02,2.943646,92.467045,9.24,9.24,2.5,2.5,2.5,24.07,24.07,33.75,33.75,0.662,6.83,40.3,40.3,0.58,311.6,0.58,311.6,0.58,VG_VSL_2000_2024_3268,2023-08-12,174,100.0,high,0.693
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-03 12:00:00,2024-02-03,3.191216,93.857526,14.66,14.66,0.71,0.71,0.0,23.46,23.46,35.74,35.74,0.884,4.31,190.7,190.7,0.78,31.4,0.78,31.4,0.78,VG_VSL_2000_2024_2024,2023-08-25,162,100.0,high,2.637
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-04 12:00:00,2024-02-04,2.224998,92.280354,5.16,5.16,0.88,0.88,0.0,24.95,24.95,33.48,33.48,1.934,5.01,285.9,285.9,0.27,335.9,0.27,335.9,0.27,VG_VSL_2000_2024_3963,2023-09-18,139,100.0,high,0.113
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-05 12:00:00,2024-02-05,3.122396,93.873082,13.59,13.59,1.77,1.77,0.0,23.47,23.47,35.69,35.69,0.892,2.74,326.8,326.8,0.72,245.9,0.72,245.9,0.72,VG_VSL_2000_2024_1808,2023-08-21,168,100.0,high,1.914
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-06 12:00:00,2024-02-06,1.897723,94.439829,9.3,9.3,0.29,0.29,0.0,24.1,24.1,36.23,36.23,1.035,7.32,224.7,224.7,0.0,50.1,0.0,50.1,0.0,VG_VSL_2000_2024_3176,2023-10-31,98,100.0,high,0.676
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-07 12:00:00,2024-02-07,3.285154,92.593043,13.29,13.29,0.31,0.31,0.0,25.57,25.57,35.6,35.6,0.291,9.74,295.7,295.7,0.36,287.0,0.36,287.0,0.36,VG_VSL_2000_2024_600,2023-10-17,113,100.0,high,2.025
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-08 12:00:00,2024-02-08,2.951768,93.210635,11.57,11.57,1.39,1.39,0.0,25.32,25.32,35.54,35.54,0.433,8.08,81.8,81.8,0.0,221.4,0.0,221.4,0.0,VG_VSL_2000_2024_3647,2023-08-21,171,100.0,high,1.411
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-09 12:00:00,2024-02-09,3.313454,93.309191,14.32,14.32,2.81,2.81,2.81,23.03,23.03,35.71,35.71,1.629,11.44,152.7,152.7,0.51,333.2,0.51,333.2,0.51,VG_VSL_2000_2024_1803,2023-10-18,114,100.0,high,2.247
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-10 12:00:00,2024-02-10,2.938687,93.680525,10.75,10.75,0.41,0.41,0.0,24.61,24.61,32.96,32.96,1.338,4.72,74.0,74.0,0.61,41.1,0.61,41.1,0.61,VG_VSL_2000_2024_1658,2023-09-04,159,100.0,high,0.975
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-11 12:00:00,2024-02-11,3.612805,94.702068,9.38,9.38,0.28,0.28,0.0,22.56,22.56,34.78,34.78,0.496,2.65,150.8,150.8,0.37,209.0,0.37,209.0,0.37,VG_VSL_2000_2024_2529,2023-08-11,184,100.0,high,0.616
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-12 12:00:00,2024-02-12,3.545923,92.218985,0.19,0.19,18.03,18.03,18.03,23.07,23.07,35.22,35.22,0.03,9.23,323.3,323.3,0.26,13.2,0.26,13.2,0.26,VG_VSL_2000_2024_1888,2024-02-12,0,0.0,clean,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-13 12:00:00,2024-02-13,3.299779,92.871945,16.81,16.81,0.64,0.64,0.0,25.27,25.27,31.89,31.89,0.294,5.77,310.2,310.2,0.4,97.5,0.4,97.5,0.4,VG_VSL_2000_2024_2576,2024-02-12,1,4.2,clean,3.316
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-14 12:00:00,2024-02-14,3.194167,93.760297,9.53,9.53,0.03,0.03,0.0,23.16,23.16,33.91,33.91,0.559,6.57,64.3,64.3,0.05,35.8,0.05,35.8,0.05,VG_VSL_2000_2024_973,2024-02-12,2,6.6,clean,0.645
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-15 12:00:00,2024-02-15,3.502479,92.744758,15.71,15.71,0.25,0.25,0.0,24.48,24.48,34.54,34.54,0.696,2.87,151.7,151.7,0.04,136.7,0.04,136.7,0.04,VG_VSL_2000_2024_2361,2024-02-12,3,2.17,clean,2.884
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-16 12:00:00,2024-02-16,2.388106,94.673951,5.06,5.06,0.38,0.38,0.0,25.27,25.27,34.95,34.95,0.299,11.44,8.1,8.1,0.55,228.1,0.55,228.1,0.55,VG_VSL_2000_2024_1032,2024-02-12,4,0.43,clean,0.093
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-17 12:00:00,2024-02-17,3.125531,93.200038,13.11,13.11,0.35,0.35,0.0,24.17,24.17,33.53,33.53,0.745,1.38,234.5,234.5,0.3,4.0,0.3,4.0,0.3,VG_VSL_2000_2024_548,2024-02-12,5,11.6,low,1.78
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-18 12:00:00,2024-02-18,4.178218,91.973408,0.43,0.43,17.03,17.03,17.03,24.03,24.03,31.45,31.45,0.291,7.66,217.1,217.1,0.25,103.9,0.25,103.9,0.25,VG_VSL_2000_2024_1423,2024-02-12,6,11.83,low,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-19 12:00:00,2024-02-19,3.868106,92.038639,20.42,20.42,3.04,3.04,3.04,22.77,22.77,36.05,36.05,0.155,7.4,178.7,178.7,0.0,277.5,0.0,277.5,0.0,VG_VSL_2000_2024_427,2024-02-12,7,17.59,low,6.239
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-20 12:00:00,2024-02-20,3.03501,95.54795,11.85,11.85,0.31,0.31,0.0,24.54,24.54,35.8,35.8,0.153,10.07,212.5,212.5,0.21,330.2,0.21,330.2,0.21,VG_VSL_2000_2024_548,2024-02-12,8,13.76,low,1.195
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-21 12:00:00,2024-02-21,3.608324,93.391159,0.0,0.0,20.79,20.79,20.79,24.41,24.41,36.62,36.62,1.0,8.52,89.9,89.9,0.0,355.6,0.0,355.6,0.0,VG_VSL_2000_2024_3776,2024-02-12,9,27.32,low,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-22 12:00:00,2024-02-22,3.31623,93.713885,0.18,0.18,23.33,23.33,23.33,25.14,25.14,34.88,34.88,0.221,9.93,298.4,298.4,0.48,82.8,0.48,82.8,0.48,VG_VSL_2000_2024_483,2024-02-12,10,31.4,medium,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-23 12:00:00,2024-02-23,2.948672,94.684825,9.14,9.14,0.42,0.42,0.0,25.61,25.61,35.29,35.29,1.119,2.1,319.0,319.0,0.0,8.8,0.0,8.8,0.0,VG_VSL_2000_2024_3480,2024-02-12,11,23.53,low,0.58
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-24 12:00:00,2024-02-24,3.264131,94.645723,9.81,9.81,0.72,0.72,0.0,24.92,24.92,35.47,35.47,0.509,1.2,265.5,265.5,0.31,127.7,0.31,127.7,0.31,VG_VSL_2000_2024_1149,2024-02-12,12,21.6,low,0.646
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-25 12:00:00,2024-02-25,2.775242,93.136296,12.75,12.75,1.25,1.25,0.0,25.16,25.16,34.68,34.68,0.47,9.23,220.8,220.8,0.84,184.6,0.84,184.6,0.84,VG_VSL_2000_2024_923,2024-02-12,13,32.27,medium,1.48
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-26 12:00:00,2024-02-26,2.876566,93.84437,10.01,10.01,0.07,0.07,0.0,23.63,23.63,33.24,33.24,0.978,10.46,55.4,55.4,0.27,80.6,0.27,80.6,0.27,VG_VSL_2000_2024_2148,2024-02-12,14,28.4,low,0.804
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-27 12:00:00,2024-02-27,4.313448,92.442571,0.11,0.11,23.47,23.47,23.47,23.88,23.88,35.5,35.5,0.895,13.63,31.3,31.3,0.0,93.5,0.0,93.5,0.0,VG_VSL_2000_2024_2893,2024-02-12,15,42.98,medium,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-28 12:00:00,2024-02-28,3.230954,94.011631,8.61,8.61,2.1,2.1,2.1,20.09,20.09,33.69,33.69,1.223,8.13,125.2,125.2,0.68,96.1,0.68,96.1,0.68,VG_VSL_2000_2024_3514,2024-02-12,16,36.15,medium,0.489
VSL_2000,300000000,9100000,container,3548,epoxy,2024-02-29 12:00:00,2024-02-29,3.901143,94.162496,13.62,13.62,1.25,1.25,0.0,25.22,25.22,35.97,35.97,0.4,7.48,120.6,120.6,0.22,294.5,0.22,294.5,0.22,VG_VSL_2000_2024_3328,2024-02-12,17,35.0,medium,1.844
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-01 12:00:00,2024-03-01,3.23797,94.159221,0.0,0.0,19.58,19.58,19.58,24.75,24.75,32.97,32.97,1.397,7.7,38.5,38.5,0.53,346.7,0.53,346.7,0.53,VG_VSL_2000_2024_1368,2024-02-12,18,62.93,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-02 12:00:00,2024-03-02,3.347886,92.642197,12.62,12.62,1.35,1.35,0.0,24.03,24.03,33.95,33.95,1.217,1.97,16.5,16.5,0.57,8.9,0.57,8.9,0.57,VG_VSL_2000_2024_89,2024-02-12,19,34.34,medium,1.474
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-03 12:00:00,2024-03-03,2.014777,94.056466,15.46,15.46,0.35,0.35,0.0,22.98,22.98,34.73,34.73,0.889,10.26,79.5,79.5,0.53,235.6,0.53,235.6,0.53,VG_VSL_2000_2024_1093,2024-02-12,20,33.59,medium,2.832
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-04 12:00:00,2024-03-04,3.176415,95.393882,8.58,8.58,0.35,0.35,0.0,23.89,23.89,35.37,35.37,0.355,8.16,76.7,76.7,0.47,132.7,0.47,132.7,0.47,VG_VSL_2000_2024_3457,2024-02-12,21,37.45,medium,0.482
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-05 12:00:00,2024-03-05,3.218566,93.501521,11.26,11.26,1.62,1.62,0.0,24.43,24.43,35.91,35.91,0.067,8.07,11.7,11.7,0.51,286.8,0.51,286.8,0.51,VG_VSL_2000_2024_1926,2024-02-12,22,45.26,medium,1.026
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-06 12:00:00,2024-03-06,4.316485,93.129728,7.42,7.42,0.96,0.96,0.0,24.49,24.49,34.02,34.02,0.232,0.76,4.2,4.2,0.39,172.8,0.39,172.8,0.39,VG_VSL_2000_2024_2400,2024-02-12,23,41.28,medium,0.323
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-07 12:00:00,2024-03-07,2.579744,93.624475,13.53,13.53,0.72,0.72,0.0,23.85,23.85,34.4,34.4,1.941,6.93,252.9,252.9,0.38,117.5,0.38,117.5,0.38,VG_VSL_2000_2024_2071,2024-02-12,24,44.94,medium,1.826
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-08 12:00:00,2024-03-08,2.82673,91.975974,11.1,11.1,1.29,1.29,0.0,23.43,23.43,35.86,35.86,1.34,10.05,11.4,11.4,1.05,313.5,1.05,313.5,1.05,VG_VSL_2000_2024_2856,2024-02-12,25,47.86,medium,0.991
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-09 12:00:00,2024-03-09,3.889327,93.315358,15.04,15.04,0.66,0.66,0.0,24.15,24.15,38.27,38.27,0.278,7.68,21.7,21.7,0.24,313.8,0.24,313.8,0.24,VG_VSL_2000_2024_877,2024-02-12,26,44.93,medium,2.624
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-10 12:00:00,2024-03-10,2.891701,93.148692,18.86,18.86,1.4,1.4,0.0,24.08,24.08,35.18,35.18,0.868,3.62,26.0,26.0,0.81,261.8,0.81,261.8,0.81,VG_VSL_2000_2024_2971,2024-02-12,27,50.98,medium,4.483
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-11 12:00:00,2024-03-11,2.694961,91.303749,18.41,18.41,0.73,0.73,0.0,22.31,22.31,34.14,34.14,0.98,7.59,75.8,75.8,0.94,263.9,0.94,263.9,0.94,VG_VSL_2000_2024_527,2024-02-12,28,56.17,medium,4.863
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-12 12:00:00,2024-03-12,3.392325,92.517551,0.01,0.01,14.17,14.17,14.17,23.84,23.84,36.76,36.76,0.826,5.78,160.3,160.3,0.0,213.5,0.0,213.5,0.0,VG_VSL_2000_2024_654,2024-02-12,29,77.02,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-13 12:00:00,2024-03-13,3.183814,94.146669,8.01,8.01,1.63,1.63,0.0,22.23,22.23,34.59,34.59,0.757,7.84,298.4,298.4,0.0,222.2,0.0,222.2,0.0,VG_VSL_2000_2024_2827,2024-02-12,30,53.39,medium,0.38
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-14 12:00:00,2024-03-14,3.026366,92.791955,18.65,18.65,1.8,1.8,0.0,25.12,25.12,35.36,35.36,0.345,6.35,97.1,97.1,0.47,337.2,0.47,337.2,0.47,VG_VSL_2000_2024_158,2024-02-12,31,58.42,medium,4.884
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-15 12:00:00,2024-03-15,2.614948,92.949924,13.43,13.43,0.05,0.05,0.0,24.28,24.28,35.68,35.68,0.42,10.58,185.6,185.6,1.14,50.3,1.14,50.3,1.14,VG_VSL_2000_2024_120,2024-02-12,32,57.76,medium,1.962
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-16 12:00:00,2024-03-16,2.611977,93.913246,0.0,0.0,13.13,13.13,13.13,23.44,23.44,37.87,37.87,0.386,7.72,249.3,249.3,0.44,222.4,0.44,222.4,0.44,VG_VSL_2000_2024_3475,2024-02-12,33,91.07,high,0.05
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-17 12:00:00,2024-03-17,3.27642,93.414997,13.44,13.44,0.27,0.27,0.0,22.71,22.71,37.45,37.45,0.037,7.98,236.8,236.8,0.43,313.5,0.43,313.5,0.43,VG_VSL_2000_2024_3129,2024-02-12,34,60.27,high,2.025
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-18 12:00:00,2024-03-18,3.508042,92.88493,15.09,15.09,1.21,1.21,0.0,24.49,24.49,36.05,36.05,0.321,11.54,294.4,294.4,0.49,2.1,0.49,2.1,0.49,VG_VSL_2000_2024_1299,2024-02-12,35,62.08,high,2.417
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-19 12:00:00,2024-03-19,2.249677,92.115721,16.97,16.97,0.3,0.3,0.0,22.83,22.83,34.1,34.1,0.602,4.69,240.6,240.6,0.22,136.7,0.22,136.7,0.22,VG_VSL_2000_2024_3453,2024-02-12,36,74.22,high,3.209
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-20 12:00:00,2024-03-20,4.610487,91.510431,6.73,6.73,0.84,0.84,0.0,24.99,24.99,35.85,35.85,0.857,9.82,344.0,344.0,0.37,333.7,0.37,333.7,0.37,VG_VSL_2000_2024_242,2024-02-12,37,72.02,high,0.233
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-21 12:00:00,2024-03-21,3.567765,93.137494,8.96,8.96,0.37,0.37,0.0,24.88,24.88,34.07,34.07,0.647,8.31,219.7,219.7,0.12,148.9,0.12,148.9,0.12,VG_VSL_2000_2024_488,2024-02-12,38,76.21,high,0.575
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-22 12:00:00,2024-03-22,2.654914,93.304368,7.73,7.73,0.12,0.12,0.0,22.36,22.36,35.66,35.66,0.488,8.82,290.2,290.2,0.26,227.9,0.26,227.9,0.26,VG_VSL_2000_2024_3805,2024-02-12,39,68.09,high,0.38
VSL_2000,300000000,9100000,container,3548,epoxy,2024-03-23 12:00:00,2024-03-23,3.466304,92.837187,13.28,13.28,1.04,1.04,0.0,25.11,25.11,34.55,34.55,0.335,9.48,85.3,85.3,0.21,296.1,0.21,296.1,0.21,VG_VSL_2000_2024_1695,2024-02-12,40,81.57,high,1.752
